#training_samples - #eopchs - #training rate - # minibatch size


54000_30_3_10 - 28^2 x 100 x 10
===============================

06/18/2018


1. Train neural network with MNIST data
2. Run neural network on MNIST test data
1
Importing training data from C:\Users\s.schmidt\dev\private\MNIST...
Read 60000 train images
Importing test data from C:\Users\s.schmidt\dev\private\MNIST...
Read 10000 test images
Generating 54000 training samples...
Generating 6000 validation samples...

Network configuration: 784 x 100 x 10
Training batch size: 54000
Validation batch size: 6000
Minibatch size: 10
Number of minibatches: 5400
Learning rate: 3.000000
Cost function: Quadratic
L2 regularization: 0.000000

Epoch 1 - training accuracy 0.283056 - validation accuracy 0.275167 - cost 0.371127
Epoch 2 - training accuracy 0.296593 - validation accuracy 0.290333 - cost 0.361279
Epoch 3 - training accuracy 0.431407 - validation accuracy 0.427833 - cost 0.315548
Epoch 4 - training accuracy 0.771000 - validation accuracy 0.764000 - cost 0.130913
Epoch 5 - training accuracy 0.871833 - validation accuracy 0.864667 - cost 0.078700
Epoch 6 - training accuracy 0.966463 - validation accuracy 0.956833 - cost 0.031182
Epoch 7 - training accuracy 0.977907 - validation accuracy 0.967667 - cost 0.020723
Epoch 8 - training accuracy 0.980944 - validation accuracy 0.969167 - cost 0.017728
Epoch 9 - training accuracy 0.982870 - validation accuracy 0.968500 - cost 0.016452
Epoch 10 - training accuracy 0.984185 - validation accuracy 0.970167 - cost 0.016071
Epoch 11 - training accuracy 0.982648 - validation accuracy 0.965667 - cost 0.018649
Epoch 12 - training accuracy 0.988259 - validation accuracy 0.974667 - cost 0.011477
Epoch 13 - training accuracy 0.988278 - validation accuracy 0.973000 - cost 0.011498
Epoch 14 - training accuracy 0.987741 - validation accuracy 0.972167 - cost 0.011814
Epoch 15 - training accuracy 0.990296 - validation accuracy 0.973333 - cost 0.009646
Epoch 16 - training accuracy 0.990278 - validation accuracy 0.974333 - cost 0.009405
Epoch 17 - training accuracy 0.990685 - validation accuracy 0.972000 - cost 0.009137
Epoch 18 - training accuracy 0.991815 - validation accuracy 0.973333 - cost 0.007655
Epoch 19 - training accuracy 0.991704 - validation accuracy 0.973500 - cost 0.007366
Epoch 20 - training accuracy 0.992426 - validation accuracy 0.971667 - cost 0.007274
Epoch 21 - training accuracy 0.993222 - validation accuracy 0.975667 - cost 0.006036
Epoch 22 - training accuracy 0.993537 - validation accuracy 0.975000 - cost 0.005381
Epoch 23 - training accuracy 0.993741 - validation accuracy 0.974667 - cost 0.005214
Epoch 24 - training accuracy 0.993778 - validation accuracy 0.975000 - cost 0.005072
Epoch 25 - training accuracy 0.994074 - validation accuracy 0.973500 - cost 0.004609
Epoch 26 - training accuracy 0.994222 - validation accuracy 0.976500 - cost 0.004388
Epoch 27 - training accuracy 0.994407 - validation accuracy 0.975167 - cost 0.003981
Epoch 28 - training accuracy 0.994519 - validation accuracy 0.975500 - cost 0.004257
Epoch 29 - training accuracy 0.994648 - validation accuracy 0.974667 - cost 0.003730
Epoch 30 - training accuracy 0.994704 - validation accuracy 0.975500 - cost 0.003585

Generating 10000 training samples for test data...
Image 8: is 5, classified as 6
Image 151: is 9, classified as 8
Image 247: is 4, classified as 6
Image 274: is 9, classified as 3
Image 321: is 2, classified as 7
Image 340: is 5, classified as 3
Image 381: is 3, classified as 7
Image 445: is 6, classified as 0
Image 447: is 4, classified as 9
Image 448: is 9, classified as 3
Image 449: is 3, classified as 5
Image 582: is 8, classified as 2
Image 583: is 2, classified as 7
Image 619: is 1, classified as 8
Image 646: is 2, classified as 6
Image 691: is 8, classified as 4
Image 707: is 4, classified as 9
Image 720: is 5, classified as 8
Image 844: is 8, classified as 7
Image 882: is 9, classified as 7
Image 900: is 1, classified as 3
Image 944: is 3, classified as 8
Image 951: is 5, classified as 4
Image 1014: is 6, classified as 5
Image 1112: is 4, classified as 6
Image 1128: is 3, classified as 7
Image 1182: is 6, classified as 8
Image 1226: is 7, classified as 2
Image 1232: is 9, classified as 4
Image 1242: is 4, classified as 9
Image 1247: is 9, classified as 5
Image 1299: is 5, classified as 7
Image 1319: is 8, classified as 3
Image 1326: is 7, classified as 1
Image 1328: is 7, classified as 9
Image 1331: is 5, classified as 3
Image 1337: is 2, classified as 6
Image 1378: is 5, classified as 6
Image 1393: is 5, classified as 3
Image 1414: is 9, classified as 7
Image 1438: is 0, classified as 6
Image 1500: is 7, classified as 1
Image 1522: is 7, classified as 9
Image 1530: is 8, classified as 7
Image 1549: is 4, classified as 6
Image 1553: is 9, classified as 3
Image 1554: is 9, classified as 8
Image 1569: is 6, classified as 7
Image 1621: is 0, classified as 6
Image 1678: is 2, classified as 0
Image 1681: is 3, classified as 7
Image 1709: is 9, classified as 3
Image 1717: is 8, classified as 0
Image 1790: is 2, classified as 7
Image 1800: is 6, classified as 2
Image 1828: is 3, classified as 7
Image 1871: is 2, classified as 3
Image 1878: is 8, classified as 2
Image 1901: is 9, classified as 4
Image 1940: is 5, classified as 0
Image 1941: is 7, classified as 3
Image 1952: is 9, classified as 3
Image 1984: is 2, classified as 0
Image 1987: is 0, classified as 9
Image 2018: is 1, classified as 7
Image 2044: is 2, classified as 7
Image 2053: is 4, classified as 9
Image 2098: is 2, classified as 0
Image 2109: is 3, classified as 7
Image 2118: is 6, classified as 0
Image 2130: is 4, classified as 9
Image 2135: is 6, classified as 1
Image 2162: is 5, classified as 8
Image 2185: is 0, classified as 5
Image 2186: is 2, classified as 3
Image 2224: is 5, classified as 6
Image 2272: is 8, classified as 0
Image 2293: is 9, classified as 6
Image 2369: is 5, classified as 9
Image 2371: is 4, classified as 9
Image 2387: is 9, classified as 1
Image 2414: is 9, classified as 7
Image 2422: is 6, classified as 4
Image 2433: is 2, classified as 1
Image 2526: is 5, classified as 3
Image 2582: is 9, classified as 7
Image 2607: is 7, classified as 2
Image 2648: is 9, classified as 0
Image 2654: is 6, classified as 1
Image 2720: is 9, classified as 4
Image 2810: is 5, classified as 3
Image 2854: is 9, classified as 7
Image 2877: is 4, classified as 7
Image 2896: is 8, classified as 0
Image 2939: is 9, classified as 5
Image 2953: is 3, classified as 5
Image 2970: is 5, classified as 7
Image 2995: is 6, classified as 8
Image 3005: is 9, classified as 1
Image 3060: is 9, classified as 7
Image 3117: is 5, classified as 9
Image 3330: is 2, classified as 3
Image 3422: is 6, classified as 0
Image 3490: is 4, classified as 9
Image 3503: is 9, classified as 1
Image 3520: is 6, classified as 4
Image 3558: is 5, classified as 0
Image 3559: is 8, classified as 5
Image 3597: is 9, classified as 3
Image 3604: is 7, classified as 4
Image 3618: is 9, classified as 7
Image 3629: is 8, classified as 3
Image 3702: is 5, classified as 3
Image 3718: is 4, classified as 9
Image 3780: is 4, classified as 6
Image 3808: is 7, classified as 3
Image 3811: is 2, classified as 3
Image 3818: is 0, classified as 6
Image 3876: is 2, classified as 8
Image 3926: is 9, classified as 3
Image 3941: is 4, classified as 6
Image 3943: is 3, classified as 5
Image 4017: is 4, classified as 7
Image 4065: is 0, classified as 8
Image 4078: is 9, classified as 3
Image 4163: is 9, classified as 0
Image 4176: is 2, classified as 7
Image 4193: is 6, classified as 4
Image 4199: is 7, classified as 9
Image 4201: is 1, classified as 7
Image 4224: is 9, classified as 7
Image 4248: is 2, classified as 8
Image 4255: is 5, classified as 3
Image 4265: is 4, classified as 9
Image 4289: is 2, classified as 7
Image 4294: is 9, classified as 7
Image 4300: is 5, classified as 8
Image 4306: is 3, classified as 7
Image 4313: is 4, classified as 7
Image 4314: is 9, classified as 7
Image 4360: is 5, classified as 3
Image 4477: is 0, classified as 6
Image 4497: is 8, classified as 7
Image 4500: is 9, classified as 1
Image 4521: is 2, classified as 7
Image 4536: is 6, classified as 5
Image 4571: is 6, classified as 2
Image 4575: is 4, classified as 9
Image 4601: is 8, classified as 4
Image 4731: is 8, classified as 7
Image 4761: is 9, classified as 7
Image 4807: is 8, classified as 3
Image 4823: is 9, classified as 4
Image 4860: is 4, classified as 9
Image 4880: is 0, classified as 8
Image 4943: is 2, classified as 7
Image 5078: is 3, classified as 8
Image 5331: is 1, classified as 6
Image 5634: is 2, classified as 3
Image 5642: is 1, classified as 8
Image 5734: is 3, classified as 7
Image 5749: is 8, classified as 6
Image 5757: is 9, classified as 7
Image 5835: is 7, classified as 9
Image 5842: is 4, classified as 7
Image 5887: is 7, classified as 2
Image 5936: is 4, classified as 9
Image 5937: is 5, classified as 3
Image 5955: is 3, classified as 8
Image 5972: is 5, classified as 3
Image 5973: is 3, classified as 8
Image 5982: is 5, classified as 3
Image 5997: is 5, classified as 3
Image 6035: is 2, classified as 0
Image 6059: is 3, classified as 5
Image 6166: is 9, classified as 3
Image 6172: is 9, classified as 3
Image 6173: is 9, classified as 8
Image 6390: is 5, classified as 8
Image 6400: is 0, classified as 6
Image 6558: is 6, classified as 2
Image 6560: is 9, classified as 3
Image 6571: is 9, classified as 7
Image 6575: is 3, classified as 5
Image 6597: is 0, classified as 7
Image 6598: is 5, classified as 3
Image 6603: is 8, classified as 7
Image 6608: is 9, classified as 5
Image 6625: is 8, classified as 7
Image 6632: is 9, classified as 5
Image 6651: is 0, classified as 8
Image 6783: is 1, classified as 6
Image 7107: is 9, classified as 7
Image 7216: is 0, classified as 3
Image 7434: is 4, classified as 8
Image 7472: is 2, classified as 7
Image 7492: is 2, classified as 7
Image 7511: is 5, classified as 3
Image 7800: is 3, classified as 2
Image 7991: is 9, classified as 8
Image 8020: is 1, classified as 8
Image 8059: is 2, classified as 1
Image 8062: is 5, classified as 8
Image 8094: is 2, classified as 8
Image 8246: is 3, classified as 9
Image 8311: is 6, classified as 4
Image 8325: is 0, classified as 6
Image 8406: is 4, classified as 9
Image 8522: is 8, classified as 6
Image 9009: is 7, classified as 2
Image 9015: is 7, classified as 2
Image 9024: is 7, classified as 2
Image 9427: is 5, classified as 3
Image 9587: is 9, classified as 4
Image 9634: is 0, classified as 8
Image 9642: is 9, classified as 7
Image 9664: is 2, classified as 7
Image 9679: is 6, classified as 5
Image 9692: is 9, classified as 7
Image 9700: is 2, classified as 8
Image 9729: is 5, classified as 6
Image 9745: is 4, classified as 0
Image 9768: is 2, classified as 0
Image 9770: is 5, classified as 0
Image 9779: is 2, classified as 0
Image 9808: is 9, classified as 4
Image 9839: is 2, classified as 7
Image 9858: is 6, classified as 8
Image 9904: is 2, classified as 6
Image 9944: is 3, classified as 8
Image 9980: is 2, classified as 3
Accuracy: 0.976800

Serializing network to ./n.gob...


------------------------------------------------------------------------------------


54000_100_0.5_10 - 28^2 x 30 x 10
=================================

04/16/18

1. Train neural network with MNIST data
2. Run neural network on MNIST test data
1
Importing training data from C:\Users\s.schmidt\dev\private\MNIST...
Read 60000 train images
Importing test data from C:\Users\s.schmidt\dev\private\MNIST...
Read 10000 test images
Generating 54000 training samples...
Generating 6000 validation samples...

Training batch size: 54000
Minibatch size: 10
Number of minibatches: 5400
Learning rate: 0.500000
Cost function: Cross-Entropy

Epoch 0 - accuracy 0.936000 - cost 0.373742
Epoch 1 - accuracy 0.938667 - cost 0.345526
Epoch 2 - accuracy 0.940833 - cost 0.302489
Epoch 3 - accuracy 0.949667 - cost 0.250069
Epoch 4 - accuracy 0.950667 - cost 0.240237
Epoch 5 - accuracy 0.952167 - cost 0.212297
Epoch 6 - accuracy 0.952500 - cost 0.213155
Epoch 7 - accuracy 0.956000 - cost 0.198972
Epoch 8 - accuracy 0.954333 - cost 0.198167
Epoch 9 - accuracy 0.950500 - cost 0.188554
Epoch 10 - accuracy 0.956000 - cost 0.177041
Epoch 11 - accuracy 0.954500 - cost 0.188794
Epoch 12 - accuracy 0.954667 - cost 0.177746
Epoch 13 - accuracy 0.958333 - cost 0.162846
Epoch 14 - accuracy 0.954833 - cost 0.156920
Epoch 15 - accuracy 0.954167 - cost 0.161886
Epoch 16 - accuracy 0.954500 - cost 0.157183
Epoch 17 - accuracy 0.956000 - cost 0.157121
Epoch 18 - accuracy 0.955667 - cost 0.148579
Epoch 19 - accuracy 0.953667 - cost 0.147585
Epoch 20 - accuracy 0.953667 - cost 0.144895
Epoch 21 - accuracy 0.951333 - cost 0.155299
Epoch 22 - accuracy 0.954000 - cost 0.140969
Epoch 23 - accuracy 0.955833 - cost 0.139575
Epoch 24 - accuracy 0.955500 - cost 0.129991
Epoch 25 - accuracy 0.954833 - cost 0.141620
Epoch 26 - accuracy 0.951667 - cost 0.138529
Epoch 27 - accuracy 0.953667 - cost 0.130382
Epoch 28 - accuracy 0.953667 - cost 0.123466
Epoch 29 - accuracy 0.953333 - cost 0.120176

Generating 10000 training samples for test data...
Accuracy: 0.961600

Serializing network to ./n.gob...
PS C:\Users\s.schmidt\dev\private\Go\src\SimpleNeuralNet>


------------------------------------------------------------------------------------


54000_100_0.5_10 - 28^2 x 100 x 10
==================================

04/16/18

1. Train neural network with MNIST data
2. Run neural network on MNIST test data
1
Importing training data from C:\Users\s.schmidt\dev\private\MNIST...
Read 60000 train images
Importing test data from C:\Users\s.schmidt\dev\private\MNIST...
Read 10000 test images
Generating 54000 training samples...
Generating 6000 validation samples...

Training batch size: 54000
Minibatch size: 10
Number of minibatches: 5400
Learning rate: 0.500000
Cost function: Cross-Entropy

Epoch 0 - accuracy 0.951333 - cost 0.283625
Epoch 1 - accuracy 0.960333 - cost 0.200314
Epoch 2 - accuracy 0.965667 - cost 0.156241
Epoch 3 - accuracy 0.968500 - cost 0.130619
Epoch 4 - accuracy 0.966500 - cost 0.123420
Epoch 5 - accuracy 0.971333 - cost 0.090970
Epoch 6 - accuracy 0.972000 - cost 0.083929
Epoch 7 - accuracy 0.973333 - cost 0.067570
Epoch 8 - accuracy 0.972333 - cost 0.074333
Epoch 9 - accuracy 0.970833 - cost 0.064703
Epoch 10 - accuracy 0.971667 - cost 0.062933
Epoch 11 - accuracy 0.973667 - cost 0.038395
Epoch 12 - accuracy 0.972167 - cost 0.039007
Epoch 13 - accuracy 0.975000 - cost 0.033578
Epoch 14 - accuracy 0.973500 - cost 0.026484
Epoch 15 - accuracy 0.970667 - cost 0.026357
Epoch 16 - accuracy 0.971833 - cost 0.020333
Epoch 17 - accuracy 0.973667 - cost 0.016916
Epoch 18 - accuracy 0.972667 - cost 0.017594
Epoch 19 - accuracy 0.973833 - cost 0.012330
Epoch 20 - accuracy 0.972167 - cost 0.012496
Epoch 21 - accuracy 0.973000 - cost 0.010915
Epoch 22 - accuracy 0.972667 - cost 0.008779
Epoch 23 - accuracy 0.972500 - cost 0.008838
Epoch 24 - accuracy 0.971000 - cost 0.008572
Epoch 25 - accuracy 0.971500 - cost 0.007399
Epoch 26 - accuracy 0.973333 - cost 0.006427
Epoch 27 - accuracy 0.972167 - cost 0.006045
Epoch 28 - accuracy 0.972667 - cost 0.005450
Epoch 29 - accuracy 0.972167 - cost 0.005213

Generating 10000 training samples for test data...
Accuracy: 0.977500

Serializing network to ./n.gob...
PS C:\Users\s.schmidt\dev\private\Go\src\SimpleNeuralNet>



